2024-03-25 20:24:25,156 - INFO - Args parsed succesfully
2024-03-25 20:24:25,157 - INFO - Params: Namespace(emotion_transform_prob=0.0, epochs=100, exp_name='Regular', net_name='resnet50')
2024-03-25 20:24:25,739 - INFO - Model was initialized and sent to cuda:0
2024-03-25 20:24:27,543 - INFO - All data has been loaded
2024-03-25 20:24:27,545 - INFO - DataLoaders initialized
2024-03-25 20:24:27,545 - INFO - HyperParams initiliazed, starting training...
2024-03-25 20:39:32,433 - INFO - 	 In epoch number 33, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.65 secs
2024-03-25 20:39:42,990 - INFO - 	 In epoch number 33, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.20 secs
2024-03-25 20:39:45,466 - INFO - Finished epoch number 33 | Loss: 4.485364440550339e-05 | Epoch Time: 23.67922043800354
2024-03-25 20:39:45,572 - INFO - 	 In epoch number 34, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:39:56,185 - INFO - 	 In epoch number 34, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.72 secs
2024-03-25 20:40:06,731 - INFO - 	 In epoch number 34, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.26 secs
2024-03-25 20:40:09,236 - INFO - Finished epoch number 34 | Loss: 4.6454354255175493e-05 | Epoch Time: 23.76927661895752
2024-03-25 20:40:09,342 - INFO - 	 In epoch number 35, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:40:19,945 - INFO - 	 In epoch number 35, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.71 secs
2024-03-25 20:40:30,529 - INFO - 	 In epoch number 35, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.29 secs
2024-03-25 20:40:51,889 - INFO - Epoch: 35 | Loss: 0.0000 | Training accuracy: 99.777% | Validation accuracy: 66.481% | Epoch Time: 42.65 secs
2024-03-25 20:40:54,857 - INFO - 	 In epoch number 36, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.12 secs
2024-03-25 20:41:05,522 - INFO - 	 In epoch number 36, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.78 secs
2024-03-25 20:41:16,109 - INFO - 	 In epoch number 36, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.37 secs
2024-03-25 20:41:18,576 - INFO - Finished epoch number 36 | Loss: 5.247010609937421e-05 | Epoch Time: 23.83589482307434
2024-03-25 20:41:18,684 - INFO - 	 In epoch number 37, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:41:29,123 - INFO - 	 In epoch number 37, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.55 secs
2024-03-25 20:41:39,632 - INFO - 	 In epoch number 37, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.06 secs
2024-03-25 20:41:42,096 - INFO - Finished epoch number 37 | Loss: 6.830959587371304e-05 | Epoch Time: 23.51948881149292
2024-03-25 20:41:42,203 - INFO - 	 In epoch number 38, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:41:52,725 - INFO - 	 In epoch number 38, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.63 secs
2024-03-25 20:42:03,276 - INFO - 	 In epoch number 38, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.18 secs
2024-03-25 20:42:05,770 - INFO - Finished epoch number 38 | Loss: 9.385686349551277e-05 | Epoch Time: 23.673657655715942
